time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2020-02-25T11:42:08.895Z,26.8575,55.6566,10,4.4,mb,,122,1.967,0.28,us,us70007web,2020-02-26T20:43:19.875Z,"62km W of Qeshm, Iran",earthquake,7.8,1.9,0.103,27,reviewed,us,us
2020-02-25T11:14:04.234Z,24.3895,121.4006,10,5.1,mb,,35,0.278,1.23,us,us70007we1,2020-03-01T21:43:33.136Z,"50km NNW of Hualian, Taiwan",earthquake,5.6,1.8,0.044,167,reviewed,us,us
2020-02-25T11:07:35.760Z,17.823,-66.8546,4,2.66,md,7,251,0.1541,0.17,pr,pr2020056013,2020-02-25T12:42:14.868Z,"17km SSE of Guanica, Puerto Rico",earthquake,0.92,0.55,0.09,3,reviewed,pr,pr
2020-02-25T10:54:30.930Z,17.9438,-66.811,15,2.79,md,6,220,0.075,0.14,pr,pr2020056011,2020-02-25T11:27:00.986Z,"5km S of Indios, Puerto Rico",earthquake,1.17,0.64,0.27,3,reviewed,pr,pr
2020-02-25T10:41:02.800Z,19.2171,-67.8101,9,3.37,md,9,319,0.896,0.49,pr,pr2020056010,2020-02-25T16:41:21.518Z,"82km NW of San Antonio, Puerto Rico",earthquake,20.51,29.21,0.15,3,reviewed,pr,pr
2020-02-25T09:28:31.810Z,17.7913,-66.879,10,3.08,md,10,269,0.1838,0.09,pr,pr2020056009,2020-02-25T12:18:11.074Z,"20km S of Guanica, Puerto Rico",earthquake,0.67,0.58,0.11,4,reviewed,pr,pr
2020-02-25T09:14:49.190Z,17.8691,-66.8623,6,2.52,md,7,247,0.1073,0.18,pr,pr2020056008,2020-02-25T09:41:50.239Z,"12km SSE of Guanica, Puerto Rico",earthquake,1.08,0.48,0.3,2,reviewed,pr,pr
2020-02-25T07:49:20.388Z,68.072,-153.065,0,2.6,ml,,,,0.9,ak,ak0202kqk0js,2020-03-02T14:04:40.040Z,"56km WSW of Anaktuvuk Pass, Alaska",earthquake,,0.7,,,automatic,ak,ak
2020-02-25T07:41:39.020Z,18.8448333,-155.2365,9.97,2.53,ml,52,262,0.3755,0.12,hv,hv71399477,2020-03-02T14:00:07.040Z,"52km SE of Pahala, Hawaii",earthquake,1.02,0.73,0.145,28,reviewed,hv,hv
2020-02-25T06:39:47.962Z,39.5546,143.2295,24.34,4.8,mb,,153,4.585,0.72,us,us70007wbp,2020-02-25T09:13:06.040Z,"110km E of Miyako, Japan",earthquake,10.1,6.6,0.066,71,reviewed,us,us
2020-02-25T06:16:20.298Z,24.2411,90.0385,10,4,mb,,187,2.113,0.84,us,us600084bt,2020-02-29T23:57:53.707Z,"12km E of Tangail, Bangladesh",earthquake,6.3,1.9,0.144,13,reviewed,us,us
2020-02-25T05:53:51.953Z,62.1297,-152.9486,0,2.5,ml,,,,0.85,ak,ak0202kpe2ly,2020-03-02T13:50:16.040Z,"156km SE of McGrath, Alaska",earthquake,,0.3,,,automatic,ak,ak
2020-02-25T05:53:24.431Z,45.8669,-111.3619,5,2.9,ml,,90,0.328,0.33,us,us70007wax,2020-03-01T20:23:58.655Z,"2km WNW of Manhattan, Montana",earthquake,1.7,1.9,0.06,36,reviewed,us,us
2020-02-25T05:27:12.210Z,17.8816,-66.8608,3,3.57,md,12,224,0.0953,0.24,pr,pr2020056006,2020-02-26T05:28:40.734Z,"23km SSE of Guanica, Puerto Rico",earthquake,1.35,0.85,0.11,6,reviewed,pr,pr
2020-02-25T04:15:02.857Z,-8.0653,-79.9568,31.93,5.2,mww,,151,4.959,1.09,us,us70007w9l,2020-02-25T16:50:24.323Z,"79km W of Santiago de Cao, Peru",earthquake,10.6,6.3,0.062,25,reviewed,us,us
2020-02-25T04:06:22.500Z,17.8786,-66.8236,8,3.12,md,9,245,0.1114,0.07,pr,pr2020056005,2020-02-25T11:20:25.810Z,"12km S of Indios, Puerto Rico",earthquake,0.66,1.1,0.19,4,reviewed,pr,pr
2020-02-25T02:56:56.659Z,63.9845,-148.1814,100.6,2.5,ml,,,,0.6,ak,ak0202knmfc5,2020-02-25T04:39:13.040Z,"39km ENE of Healy, Alaska",earthquake,,0.5,,,automatic,ak,ak
2020-02-25T02:47:33.468Z,50.6871,-173.3786,28.9,2.8,ml,,,,0.45,ak,ak0202knkhbr,2020-02-25T19:19:30.627Z,"177km SSE of Atka, Alaska",earthquake,,2.2,,,reviewed,ak,ak
2020-02-25T02:15:35.841Z,14.0612,145.5006,114.24,4.8,mb,,124,0.772,0.45,us,us70007w8k,2020-02-25T04:46:48.367Z,"33km ESE of Rota, Northern Mariana Islands",earthquake,15.4,10.1,0.042,173,reviewed,us,us
2020-02-25T02:07:28.142Z,-17.7821,-178.8644,530.21,5.2,mb,,85,2.937,0.59,us,us70007w8g,2020-02-25T02:17:08.040Z,"240km SE of Lambasa, Fiji",earthquake,10.2,11.2,0.085,46,reviewed,us,us
2020-02-25T01:12:45.640Z,17.9035,-66.7888,10,2.98,md,7,238,0.1153,0.08,pr,pr2020056004,2020-02-25T09:15:26.480Z,"10km SSE of Indios, Puerto Rico",earthquake,1.04,0.77,0.16,4,reviewed,pr,pr
2020-02-25T00:49:41.899Z,-23.0059,-69.4219,79.13,4.6,mwr,,77,0.329,1.02,us,us70007w7n,2020-02-25T06:40:19.040Z,"78km SW of Calama, Chile",earthquake,6,4.8,0.053,34,reviewed,us,us
2020-02-25T00:44:49.740Z,17.9136,-66.9033,9,3.28,md,10,231,0.0661,0.05,pr,pr2020056002,2020-02-25T04:42:14.891Z,"7km SSE of Guanica, Puerto Rico",earthquake,0.66,0.45,0.24,6,reviewed,pr,pr
2020-02-25T00:25:10.930Z,17.8708,-66.8426,11,2.9,md,6,246,0.1105,0.06,pr,pr2020056001,2020-02-25T00:34:29.489Z,"12km SSE of Maria Antonia, Puerto Rico",earthquake,0.88,0.59,0.1,3,reviewed,pr,pr
2020-02-25T00:18:19.550Z,17.9695,-66.8255,10,3,md,10,207,0.054,0.18,pr,pr2020056000,2020-02-25T02:51:20.259Z,"2km SSW of Indios, Puerto Rico",earthquake,1.28,0.77,0.36,5,reviewed,pr,pr
2020-02-25T00:13:31.842Z,13.577,-91.5529,35,4.7,mwr,,136,0.952,0.86,us,us70007w6u,2020-02-25T06:28:45.040Z,"74km SSW of Nueva Concepcion, Guatemala",earthquake,7,2,0.075,17,reviewed,us,us
